,Url,Oferta,Cena,Umeblowane,Powierzchnia,Liczba pokoi
68,https://www.olx.pl/oferta/przytulne-mieszkanie-po-remoncie-38m2-lodz-gorna-dla-studentow-CID3-IDFlq6K.html#314db5627e,Przytulne mieszkanie po remoncie. 38m2. Łódź Górna DLA STUDENTÓW,1200,1,38.0,1
69,https://www.olx.pl/oferta/kawalerka-na-wynajem-ul-wojska-polskiego-baluty-CID3-IDFlpwx.html#314db5627e,Kawalerka na wynajem. ul. Wojska Polskiego Bałuty,1500,1,30.0,1
70,https://www.olx.pl/oferta/kawalerka-z-ogrodkiem-na-wynajem-przy-selgrosie-ul-pabianicka-CID3-IDFloU5.html#314db5627e,Kawalerka z ogródkiem na wynajem przy Selgrosie ul. Pabianicka,1040,1,20.0,1
71,https://www.olx.pl/oferta/2-pokojowe-mieszkanie38-7m2-ul-wodna-lodz-CID3-IDFbTgP.html#314db5627e,2-pokojowe mieszkanie*38.7m2* ul. Wodna. Łódź,1870,1,38.7,2
72,https://www.olx.pl/oferta/wynajme-kawalerke-CID3-IDFatbG.html#314db5627e,Wynajmę kawalerkę,1350,1,28.0,1
73,https://www.olx.pl/oferta/do-wynajecia-mieszkanie-m4-lodz-dabrowa-3-pokoje-47-22-m-CID3-IDFlm6s.html#314db5627e,Do wynajęcia mieszkanie M4 Łódź Dąbrowa 3 pokoje 47.22 m²,1720,1,47.22,3
74,https://www.olx.pl/oferta/mieszkanie-do-wynajecia-CID3-IDDELKO.html#314db5627e,Mieszkanie do wynajęcia,1800,1,50.0,3
75,https://www.olx.pl/oferta/do-wynajecia-radogoszcz-zachod-jesionowa-baluty-64m2-bezposrednio-CID3-IDCvV3z.html#314db5627e,Do wynajęcia Radogoszcz Zachód Jesionowa Bałuty 64M2 bezpośrednio,2200,0,64.0,3
76,https://www.olx.pl/oferta/mieszkanie-do-wynajecia-CID3-IDFll2A.html#314db5627e,Mieszkanie do wynajecia,1300,1,49.0,3
78,https://www.olx.pl/oferta/przestronne-m3-lodz-obywatelska-67m2-garaz-CID3-IDFlkHY.html#314db5627e,Przestronne M3 Łódź Obywatelska 67m2 + garaż,2270,1,67.0,3
79,https://www.olx.pl/oferta/mieszkanie-lumumbowo-uniwersytet-2-pokoje-CID3-IDEIng2.html#314db5627e,Mieszkanie Lumumbowo/Uniwersytet 2 pokoje,1580,1,49.0,2
80,https://www.olx.pl/oferta/kawalerka-z-balkonem-w-lodzi-ul-turoszowska-5-CID3-IDFlhtS.html#314db5627e,Kawalerka z balkonem w Łodzi ul.Turoszowska 5,1710,1,25.8,1
81,https://www.olx.pl/oferta/2-pokojowe-bardzo-wygodne-mieszkanie-50m2-rogozinskiego-lodz-CID3-IDEVSzL.html#314db5627e,2-pokojowe bardzo wygodne mieszkanie. 50m2. Rogozińskiego. Łódź,1985,1,50.0,2
82,https://www.olx.pl/oferta/wynajme3-pokoje-dabrowa-lodz-CID3-IDFavV7.html#314db5627e,Wynajmę 3 pokoje Dąbrowa Łódź,2000,1,48.0,3
83,https://www.olx.pl/oferta/bezposrednio-przytulne-m-3-na-manhattanie-ul-piotrkowska-po-remoncie-CID3-IDFaQpR.html#314db5627e,Bezpośrednio przytulne M-3 na Manhattanie ul. Piotrkowska po remoncie,1850,1,35.0,2
84,https://www.olx.pl/oferta/2-pok-przytulne-mieszkanie-bezposrednio-przy-parku-ul-cieszkowskiego-CID3-IDFlfTx.html#314db5627e,2-pok. przytulne mieszkanie bezpośrednio przy parku.ul. Cieszkowskiego,1800,1,32.8,2
